Variant,mse_mean,mse_std,mae_mean,mae_std,rmse_mean,rmse_std,peak_power_mean,peak_power_std,cycle_cost_mean,cycle_cost_std,self_consumption_mean,self_consumption_std,energy_cost_mean,energy_cost_std,violations_mean,violations_std,inference_time_ms_mean,inference_time_ms_std,parameters_M_mean,parameters_M_std,training_time_min_mean,training_time_min_std,lang_gap_mean,lang_gap_std,vision_gap_mean,vision_gap_std,zero_vision_gap_mean,zero_vision_gap_std
Baseline-LSTM,0.389323224623998,0.000381433608551255,0.4913364549477895,0.0004993811496337436,0.6239576538403829,0.00030560875640907233,0.12219625959793727,0.00627982213619919,0.4845062593619029,0.019479668244543714,0.0,0.0,0.04233415696397424,0.0017035897223641645,0.0,0.0,0.13417612514366992,0.0024299522506954978,1.055489,0.0,5.197164159350925,0.8221937075890982,,,,,,
Baseline-MLP,0.38867995142936707,9.199478754100241e-05,0.4905313154061635,0.00012586466483808167,0.623442014058431,7.379749094184127e-05,0.11756590753793716,0.001130080974414112,0.45998571316401166,0.004887050368933776,0.0,0.0,0.040190801633397735,0.00042700736395995107,0.0,0.0,0.00810685947879145,0.0013612102032200682,0.070928,0.0,2.7616491582658553,0.13627057537727433,,,,,,
Modality-Full-Convnext,0.38339176774024963,0.0010225210934863887,0.48566241065661114,0.0011622402581966205,0.619186004002889,0.0008258266023251148,0.1217830056945483,0.008786015900716648,0.45381144682566327,0.04322653857146187,0.07966666917006175,0.07078314535648075,0.03907983663167494,0.0037984459423976488,0.0,0.0,1.288603020438056,0.01288988226850684,19.36349,0.0,28.34292859368854,10.842002173979463,-0.9216841558615366,0.017738972135801355,-7.033348083496094e-06,1.1383863002584223e-05,-9.18904940287272e-06,3.2354855762402816e-06
Modality-Full-Mobilenet,0.38561615347862244,0.003924332314613012,0.48787442843119305,0.004315720823822772,0.6209746599197388,0.003155614651338112,0.12918833394845328,0.035478194235598344,0.4963235060373942,0.13919814572615202,0.07606666907668114,0.07409786565549115,0.042206788174497585,0.01312372284847151,0.0,0.0,0.48348497445656075,0.005051175744574146,4.439234,0.0,13.757670734988318,4.317845741024979,-0.9299904803435007,0.033965393508106734,3.993511199951172e-06,9.865739124854135e-06,7.291634877522786e-06,1.3605676840693128e-05
Modality-Full-Resnet,0.384612778822581,0.0015519576407285944,0.4870057503382365,0.0015486952485500452,0.6201707522074381,0.0012508395997545883,0.12749298910299936,0.012071575220539067,0.49315563837687176,0.05239292959009875,0.12053333719571431,0.07078314535648075,0.0422885811881007,0.004490278523004987,0.0,0.0,0.8262733142867179,0.0037750998613111796,14.255266,0.0,29.52671520445082,10.58787429899753,-0.9372117718060812,0.01737500281881408,1.3202428817749023e-05,1.75271357406343e-05,1.1901060740152994e-05,1.713963490661715e-05
Modality-Full-Simclr,0.3846219579378764,0.001442419147730214,0.4872259497642517,0.001669704222308341,0.620178242524465,0.0011622906347625334,0.13232681155204773,0.015978288747566585,0.5027681489785513,0.06216130729399658,0.12053333719571431,0.07078314535648075,0.04228960301739474,0.004957355385263166,0.0,0.0,0.7808776413889019,0.005835976197775433,14.928802,0.0,27.93748372130924,1.2520432704078417,-0.9393095771471659,0.018514402222711994,-1.5735626220703125e-05,3.463218364985482e-05,-2.753734588623047e-05,3.216729650402725e-05
Modality-Full-Swin,0.3839782476425171,0.00043740536268319254,0.4864976108074188,0.0006719527427978619,0.6196597019831339,0.00035288496069219667,0.12557870397965112,0.006908812869988593,0.48284727334976196,0.026291925972988336,0.16140000522136688,0.0,0.03999688043693702,0.002275097023100921,0.0,0.0,1.243777909900861,0.0024063089423299855,19.26101,0.0,38.90535825358497,10.785942971788149,-0.9425356388092041,0.014438564367102521,-2.1060307820638022e-06,3.2682609649149713e-06,4.579623540242513e-06,8.061202265072698e-06
Modality-Full-Tinycnn,0.39042383432388306,0.011899736391883454,0.49098899960517883,0.008951728005854946,0.6247910857200623,0.009481456787371124,0.13471272587776184,0.02788738943203354,0.5168985625108083,0.11486174165723158,0.11773333450158437,0.06848717668368483,0.04071600135367771,0.005676346379426733,0.0,0.0,0.29683841368493113,0.006241202636997789,4.167362,0.0,14.048243192831675,4.12530410178966,-0.9090758760770162,0.012084153198011623,7.063150405883789e-06,1.3307062331425872e-05,2.602736155192057e-06,6.5280239457806255e-06
Modality-NoLanguage-Convnext,0.8627083698908488,4.9643346178558556e-05,0.7202108105023702,0.0014694559875239564,0.9288209478060404,2.6714608513620747e-05,0.4333060880502065,0.004902016349944861,1.7321029901504517,0.018636976682120217,0.8374000191688538,0.0,0.08783241064151127,0.00044172426847040617,0.0022365897117803493,2.7451650933463447e-05,1.2729102037482163,0.0044196811221614216,19.215522,0.0,22.134254844983417,1.858920230949902,,,0.0,0.0,0.0,0.0
Modality-NoLanguage-Mobilenet,0.8627609014511108,0.00011562065913899562,0.721081554889679,0.0012061002580271484,0.9288492401440939,6.22436991472505e-05,0.4359872241814931,0.003311387121987937,1.7429500420888264,0.014669034331182959,0.8374000191688538,0.0,0.08757531341711682,0.0003476864424180153,0.0022204714672019086,2.2015238224069233e-05,0.4845646495481987,0.00533294412401203,4.291266,0.0,12.71048789554172,3.8905143384267107,,,0.0,0.0,0.0,0.0
